neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Beacon Hill,42.35977,-71.06774,Entire rental unit,Entire home/apt,207,65,4.92
South End,42.34294,-71.07304,Entire rental unit,Entire home/apt,226,63,4.84
Beacon Hill,42.35714,-71.06968,Entire rental unit,Entire home/apt,425,23,4.45
Dorchester,42.30907,-71.04674,Private room in residential home,Private room,43,580,4.87
Roxbury,42.32546,-71.08894,Private room in rental unit,Private room,65,41,4.8
Roxbury,42.32546,-71.08894,Private room in residential home,Private room,67,38,4.87
Roxbury,42.32546,-71.08894,Private room in rental unit,Private room,75,19,5
South End,42.34164,-71.07964,Private room in residential home,Private room,350,26,4.71
Charlestown,42.38017,-71.06236,Private room in rental unit,Private room,46,108,4.69
Dorchester,42.30835,-71.04654,Private room in residential home,Private room,80,311,4.91
Dorchester,42.30818,-71.04784,Private room in residential home,Private room,60,45,4.89
Charlestown,42.38324,-71.07852,Entire rental unit,Entire home/apt,118,41,4.9
Charlestown,42.37243,-71.06349,Entire townhouse,Entire home/apt,350,27,4.96
Brighton,42.34873,-71.15693,Entire guest suite,Entire home/apt,141,153,4.64
Fenway,42.34175,-71.08359,Entire rental unit,Entire home/apt,415,43,4.85
Bay Village,42.34988,-71.06918,Entire townhouse,Entire home/apt,275,141,4.98
South Boston,42.33835,-71.0472,Private room in townhouse,Private room,100,300,4.79
Roslindale,42.28132,-71.13377,Private room in residential home,Private room,58,37,4.81
Brighton,42.35103,-71.17252,Entire condominium (condo),Entire home/apt,100,47,4.7
Roxbury,42.32382,-71.09641,Entire rental unit,Entire home/apt,120,232,4.84
Jamaica Plain,42.31293,-71.11527,Entire residential home,Entire home/apt,145,228,4.89
Roslindale,42.28639,-71.13199,Entire loft,Entire home/apt,81,7,4.83
Roslindale,42.28447,-71.13301,Entire residential home,Entire home/apt,160,44,4.61
Dorchester,42.29009,-71.05762,Private room in rental unit,Private room,65,132,4.88
Roslindale,42.28127,-71.13304,Private room in residential home,Private room,69,40,4.8
South End,42.34279,-71.0711,Entire townhouse,Entire home/apt,890,44,4.95
Brighton,42.3569,-71.1624,Private room in townhouse,Private room,99,302,4.76
Fenway,42.34981,-71.09476,Entire condominium (condo),Entire home/apt,265,2,4
Dorchester,42.30837,-71.0461,Private room in residential home,Private room,100,211,4.93
Jamaica Plain,42.29867,-71.1131,Entire rental unit,Entire home/apt,148,578,4.8
Beacon Hill,42.35985,-71.0717,Entire rental unit,Entire home/apt,239,1,5
Jamaica Plain,42.3079,-71.12378,Entire rental unit,Entire home/apt,1299,105,4.41
Dorchester,42.31465,-71.0624,Private room in residential home,Private room,95,147,4.67
Jamaica Plain,42.30593,-71.10733,Private room in rental unit,Private room,120,38,4.62
Brighton,42.34245,-71.15758,Private room in residential home,Private room,70,228,4.68
South Boston,42.3358,-71.04948,Entire condominium (condo),Entire home/apt,650,8,4.88
South Boston,42.33375,-71.04767,Private room in condominium (condo),Private room,220,85,4.72
Back Bay,42.3504,-71.08891,Entire rental unit,Entire home/apt,70,34,4.31
Beacon Hill,42.35771,-71.06978,Entire rental unit,Entire home/apt,165,110,4.83
Downtown,42.3559,-71.05998,Entire rental unit,Entire home/apt,300,7,4.86
North End,42.36446,-71.05429,Entire rental unit,Entire home/apt,195,169,4.9
South End,42.34303,-71.07305,Entire rental unit,Entire home/apt,208,43,4.84
South End,42.34125,-71.07604,Entire rental unit,Entire home/apt,100,73,4.77
South End,42.33662,-71.0753,Entire bed and breakfast,Entire home/apt,200,88,4.34
Jamaica Plain,42.31146,-71.11947,Entire guest suite,Entire home/apt,147,146,4.96
South End,42.34568,-71.07169,Entire rental unit,Entire home/apt,119,408,4.86
South End,42.34506,-71.06159,Entire condominium (condo),Entire home/apt,139,0,
Downtown,42.35702,-71.06168,Entire rental unit,Entire home/apt,100,36,4.67
Beacon Hill,42.3596,-71.06555,Entire rental unit,Entire home/apt,65,0,
South End,42.34309,-71.07316,Entire rental unit,Entire home/apt,197,38,4.84
Brighton,42.34272,-71.15672,Entire rental unit,Entire home/apt,52,16,4.81
North End,42.36597,-71.05271,Entire rental unit,Entire home/apt,161,145,4.56
Allston,42.35429,-71.13251,Private room in rental unit,Private room,85,12,4.25
Back Bay,42.34492,-71.08482,Entire rental unit,Entire home/apt,280,78,4.66
Bay Village,42.34868,-71.07043,Entire condominium (condo),Entire home/apt,200,26,4.88
South End,42.34278,-71.07005,Entire rental unit,Entire home/apt,160,5,4.6
Beacon Hill,42.35902,-71.06296,Entire rental unit,Entire home/apt,150,100,4.87
Roslindale,42.28278,-71.13878,Private room in residential home,Private room,85,75,4.84
South End,42.34514,-71.07302,Private room in townhouse,Private room,140,177,4.34
Hyde Park,42.26043,-71.11766,Entire residential home,Entire home/apt,249,98,4.92
Roxbury,42.31018,-71.08543,Entire townhouse,Entire home/apt,600,14,4.08
Jamaica Plain,42.31893,-71.11701,Private room in rental unit,Private room,95,27,4.92
Hyde Park,42.23533,-71.13256,Entire guest suite,Entire home/apt,89,33,4.45
Dorchester,42.28814,-71.06889,Private room in rental unit,Private room,40,7,4.86
Roslindale,42.28657,-71.13236,Entire rental unit,Entire home/apt,125,119,4.87
Dorchester,42.31281,-71.06098,Entire guest suite,Entire home/apt,123,207,4.5
Back Bay,42.35311,-71.08213,Entire rental unit,Entire home/apt,175,252,4.28
South Boston,42.33306,-71.03291,Entire condominium (condo),Entire home/apt,65,23,4.65
Jamaica Plain,42.31632,-71.11417,Entire condominium (condo),Entire home/apt,139,15,4.87
Roxbury,42.32811,-71.09157,Private room in townhouse,Private room,100,245,4.95
Dorchester,42.31311,-71.06232,Private room in residential home,Private room,70,101,4.68
Downtown,42.35065,-71.0666,Entire condominium (condo),Entire home/apt,350,0,
Roxbury,42.31907,-71.09252,Entire guest suite,Entire home/apt,85,122,4.92
Brighton,42.35564,-71.15746,Entire residential home,Entire home/apt,210,49,4.96
Back Bay,42.351,-71.08899,Entire rental unit,Entire home/apt,248,27,4.44
Beacon Hill,42.35884,-71.06332,Entire rental unit,Entire home/apt,288,252,4.8
West Roxbury,42.29742,-71.157,Entire rental unit,Entire home/apt,119,4,4.67
Dorchester,42.32213,-71.06094,Entire rental unit,Entire home/apt,119,31,4.39
Downtown,42.35844,-71.06153,Entire rental unit,Entire home/apt,100,0,
Roslindale,42.28037,-71.13669,Private room in residential home,Private room,50,31,4.87
Roxbury,42.32843,-71.09369,Entire rental unit,Entire home/apt,167,254,4.76
Dorchester,42.28512,-71.07672,Shared room in residential home,Shared room,110,5,5
Roxbury,42.31676,-71.08,Private room in rental unit,Private room,38,6,4.33
North End,42.3636,-71.05367,Entire rental unit,Entire home/apt,225,50,4.68
Roxbury,42.31676,-71.08,Private room in rental unit,Private room,33,0,
Charlestown,42.37358,-71.06309,Entire townhouse,Entire home/apt,250,277,4.78
South Boston,42.33526,-71.05216,Entire condominium (condo),Entire home/apt,307,7,4.6
Beacon Hill,42.35792,-71.06432,Entire rental unit,Entire home/apt,125,241,4.9
Jamaica Plain,42.31016,-71.10582,Private room in residential home,Private room,94,128,4.88
East Boston,42.38679,-71.00271,Private room in residential home,Private room,42,91,4.38
South End,42.33765,-71.07434,Entire rental unit,Entire home/apt,150,345,4.82
Jamaica Plain,42.31826,-71.09956,Private room in residential home,Private room,90,181,4.92
Roslindale,42.28289,-71.14078,Private room in residential home,Private room,85,26,4.81
North End,42.36722,-71.05266,Entire rental unit,Entire home/apt,229,59,4.71
South Boston,42.3357,-71.05395,Entire residential home,Entire home/apt,308,662,4.9
Jamaica Plain,42.30385,-71.1151,Entire rental unit,Entire home/apt,129,256,4.95
Back Bay,42.35491,-71.07463,Entire rental unit,Entire home/apt,225,15,4.8
North End,42.36684,-71.0529,Entire rental unit,Entire home/apt,170,27,4.93
Jamaica Plain,42.31246,-71.10793,Private room in rental unit,Private room,98,39,4.72
Fenway,42.34853,-71.09256,Entire rental unit,Entire home/apt,250,0,
Roxbury,42.32971,-71.0931,Private room in townhouse,Private room,121,328,4.94
South End,42.34128,-71.07607,Entire rental unit,Entire home/apt,100,70,4.69
Brighton,42.33678,-71.15237,Entire rental unit,Entire home/apt,90,4,5
South End,42.33783,-71.07515,Entire rental unit,Entire home/apt,280,8,5
East Boston,42.38903,-71.00251,Private room in residential home,Private room,100,1,4
East Boston,42.38829,-71.00437,Private room in residential home,Private room,80,5,4.4
Jamaica Plain,42.31128,-71.10981,Private room in rental unit,Private room,150,0,
South End,42.34128,-71.07607,Entire rental unit,Entire home/apt,150,140,4.81
South End,42.34128,-71.07607,Entire rental unit,Entire home/apt,90,80,4.83
Brighton,42.35309,-71.14822,Entire residential home,Entire home/apt,135,9,4.44
Roxbury,42.32942,-71.09149,Private room in townhouse,Private room,100,236,4.93
Roslindale,42.28026,-71.13584,Private room in residential home,Private room,50,36,4.91
Beacon Hill,42.36017,-71.06346,Entire rental unit,Entire home/apt,159,117,4.68
South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,167,84,4.66
South End,42.34447,-71.07644,Entire rental unit,Entire home/apt,173,128,4.58
Back Bay,42.34982,-71.08264,Entire rental unit,Entire home/apt,163,138,4.67
Charlestown,42.37866,-71.06452,Entire rental unit,Entire home/apt,374,50,4.9
Allston,42.35984,-71.12873,Entire townhouse,Entire home/apt,600,33,4.1
Roxbury,42.32965,-71.0932,Private room in townhouse,Private room,87,278,4.9
Roxbury,42.32397,-71.09085,Entire rental unit,Entire home/apt,236,88,4.72
South End,42.34301,-71.07304,Entire rental unit,Entire home/apt,125,20,4.85
